file,decile,mean_energy,fragile_fraction,mean_abs_diff,d_rs_per_bit,d_spa_per_bit,flips,domain
nature5.wav,5,1033.6515394303103,0.014011570520617505,101.3293823556551,-8.600000000000003e-09,-1.4974999999999972e-09,20000,ambient
nature5.wav,6,1142.1628535775912,0.013264958029717533,116.83471090556267,-2.45e-09,-6.219999999999977e-10,20000,ambient
nature5.wav,7,1284.709631358823,0.011886320804836176,138.7162577802135,-4.1200000000000005e-08,-1.3396999999999999e-08,20000,ambient
nature5.wav,8,1485.1826364188112,0.010599244548700327,179.72951096970087,-1.43e-08,-2.797499999999996e-09,20000,ambient
nature5.wav,9,1995.036498656153,0.006960997733693632,378.5562622432241,-8.700000000000005e-09,1.186500000000001e-09,20000,ambient
nature6.wav,0,82.06508998207457,0.07193858044783367,14.460867079299145,-5.6299999999999995e-08,-1.4737500000000002e-08,20000,ambient
nature6.wav,1,101.02453075683822,0.060245405960449736,16.537908363856893,-3.8249999999999995e-08,-8.167e-09,20000,ambient
nature6.wav,2,113.61658360498353,0.0557835647310583,18.029039294538464,-3.0949999999999996e-08,-1.1185500000000001e-08,20000,ambient
nature6.wav,3,125.75024550176397,0.05097191926919114,19.904469002305316,-7.320000000000001e-08,-1.3636500000000003e-08,20000,ambient
nature6.wav,4,138.32276302341307,0.047338766648861934,21.710646656443302,-4.6099999999999996e-08,-9.552000000000003e-09,20000,ambient
nature6.wav,5,153.5298023974546,0.0445197218335826,23.36080996326494,-8.099999999999991e-09,-1.0511e-08,20000,ambient
nature6.wav,6,170.597445179584,0.04169552617341893,25.3699909372534,-7.75e-08,-1.75085e-08,20000,ambient
nature6.wav,7,192.02179995588253,0.039992281344975636,26.645134835254957,-1.2649999999999988e-08,-5.113000000000003e-09,20000,ambient
nature6.wav,8,224.74259295874288,0.036509101433695464,28.45332478835678,-2.0799999999999998e-08,-1.1789500000000003e-08,20000,ambient
nature6.wav,9,335.63324000006406,0.032175984905348544,32.365886914066536,-4.9149999999999993e-08,-1.4631000000000002e-08,20000,ambient
